Number_ID,Day,Number,Plate_ID,Time,Strain,GFP,RFP,Pillar_angle,Pillar_height,Pillar_length,Base_length,Straight_height,Titled_height,Width,Proportion,Tower
1,8,1,2,1.5,A+B,B,A,3.348,3.307,3.072,0.261,1.033,0.994,0.261,50/50,
2,8,2,4,1.5,A+B,B,A,2.62,2.56,3.895,0.196,1,1.001,0.272,50/50,
3,8,3,5,1.5,A+C,C,A,2.62,2.569,2.911,0.38,0.837,0.831,0.217,50/50,
4,8,4,1,2,A+C,C,A,2.913,2.884,3.024,0.109,0.781,0.816,0.098,50/50,
5,8,5,2,2,A+B,B,A,3.348,3.307,3.072,0.293,1.13,1.263,0.239,50/50,
6,8,6,5,2,A+C,C,A,2.62,2.569,2.911,0.261,1.565,1.523,0.38,50/50,
7,8,7,6,2,A+B,B,A,2.587,2.565,2.43,0.207,0.924,0.946,0.185,50/50,
8,8,8,1,3,A+C,C,A,2.913,2.884,3.024,0.207,0.717,0.85,0.25,50/50,
9,8,9,2,3,A+B,B,A,3.348,3.307,3.072,0.261,1.185,1.21,0.142,50/50,
10,8,10,4,3,A+B,B,A,2.62,2.56,3.895,0.163,1.228,1.276,0.25,50/50,
11,8,11,5,3,A+C,C,A,2.62,2.569,2.911,0.293,1.75,1.764,0.478,50/50,
12,8,12,6,3,A+B,B,A,2.587,2.565,2.43,0.163,0.848,0.807,0.228,50/50,
13,9,1,13,1,A+C,C,A,-5.618,2.674,2.655,0.326,0.783,0.786,0.185,50/50,
14,9,2,12,1.5,A+B,B,A,5.803,2.707,2.688,0.38,1.957,1.998,0.37,50/50,
15,9,3,13,1.5,A+C,C,A,-5.618,2.674,2.655,0.304,1.446,1.466,0.283,50/50,
16,9,4,14,1.5,A+C,C,A,2.148,2.663,2.611,0.185,0.815,0.819,0.12,50/50,
17,9,5,15,1.5,A+B,B,A,-12.67,2.837,2.874,0.163,1.272,1.297,0.207,50/50,
18,9,6,16,1.5,A+C,C,A,-1.983,2.859,2.828,0.207,1.38,1.339,0.207,50/50,
19,9,7,18,1.5,A+B,B,A,9.746,2.913,2.89,0.228,2.5,2.568,0.141,50/50,
20,9,8,11,2,A+B,B,A,0.888,2.837,2.805,0.174,1.38,1.381,0.174,50/50,
21,9,9,12,2,A+B,B,A,5.803,2.707,2.688,0.217,1.511,1.544,0.381,50/50,
22,9,10,14,2,A+C,C,A,2.148,2.663,2.611,0.109,0.989,0.979,0.12,50/50,
23,9,11,16,2,A+C,C,A,-1.983,2.859,2.828,0.196,1.978,2,0.25,50/50,
24,9,12,18,2,A+B,B,A,9.746,2.913,2.89,0.152,1.228,1.266,0.217,50/50,
25,9,13,11,3,A+B,B,A,0.888,2.837,2.805,0.29,1.043,1.044,0.185,50/50,Yes
26,9,14,12,3,A+B,B,A,5.803,2.707,2.688,0.391,1.978,1.968,0.348,50/50,Yes
27,9,15,14,3,A+C,C,A,2.148,2.663,2.611,0.185,0.935,1.011,0.152,50/50,
28,9,16,15,3,A+B,B,A,-12.67,2.837,2.874,0.185,1.011,0.96,0.304,50/50,Yes
29,9,17,16,3,A+C,C,A,-1.983,2.859,2.828,0.261,2.239,2.228,0.12,50/50,
30,9,18,18,3,A+B,B,A,9.746,2.913,2.89,0.185,0.837,0.799,0.196,50/50,
31,10,1,15,1,A+B,B,A,1.909,3.283,3.263,0.217,0.511,0.635,0.152,50/50,
32,10,2,18,1,A+B,A,B,-6.65,2.467,2.44,0.13,0.359,0.361,0.043,50/50,
33,10,3,20,1,A+C,C,A,-3.616,2.946,2.93,0.239,0.641,0.643,0.196,50/50,
34,10,4,1,1.5,A+B,B,A,-2.691,2.446,2.546,0.185,1.293,1.175,0.38,50/50,
35,10,5,3,1.5,A+B,B,A,-5.831,2.511,2.568,0.25,0.957,0.899,0.13,50/50,
36,10,6,4,1.5,A+C,A,C,7.452,2.641,2.598,0.163,0.935,0.96,0.174,50/50,
37,10,7,5,1.5,A+B,B,A,-0.591,3.185,3.163,0.174,0.88,0.935,0.228,50/50,
38,10,8,7,1.5,A+C,C,A,-5.194,2.859,2.641,0.196,1.359,1.299,0.228,50/50,
39,10,9,8,1.5,A+B,A,B,5.877,2.967,2.972,0.109,1.337,1.358,0.348,50/50,
40,10,10,9,1.5,A+C,A,C,2.736,3.337,3.188,0.207,1.272,1.25,0.261,50/50,
41,10,11,10,1.5,A+B,B,A,-14.601,2.598,2.673,0.141,2.467,2.454,0.239,50/50,
42,10,12,12,1.5,A+B,B,A,-1.198,3.174,3.12,0.293,1.435,1.38,0.424,50/50,
43,10,13,13,1.5,A+B,A,B,13.036,2.185,2.265,0.272,0.913,0.973,0.217,50/50,
44,10,14,14,1.5,A+B,B,A,0,3.467,3.641,0.217,1.359,1.396,0.283,50/50,
45,10,15,15,1.5,A+B,B,A,1.909,3.283,3.263,0.152,1.217,1.109,0.228,50/50,
46,10,16,17,1.5,A+B,B,A,-16.189,3.12,3.158,0.207,2.804,2.997,0.257,50/50,
47,10,17,18,1.5,A+B,A,B,-6.65,2.467,2.44,0.152,0.935,0.742,0.152,50/50,
48,10,18,20,1.5,A+C,C,A,-3.616,2.946,2.93,0.261,2.478,2.544,0.6,50/50,
49,10,19,1,2,A+B,B,A,-2.691,2.446,2.546,0.196,2,1.986,0.38,50/50,
50,10,20,4,2,A+C,A,C,7.452,2.641,2.598,0.174,0.826,0.855,0.207,50/50,
51,10,21,6,2,A+B,B,A,-2.779,3.446,3.363,0.196,1.413,1.386,0.304,50/50,
52,10,22,7,2,A+C,C,A,-5.194,2.859,2.641,0.163,1.304,1.304,0.163,50/50,
53,10,23,10,2,A+B,B,A,-14.601,2.598,2.673,0.122,0.826,0.851,0.145,50/50,
54,10,24,12,2,A+B,B,A,-1.198,3.174,3.12,0.217,1.239,1.213,0.283,50/50,
55,10,25,13,2,A+B,A,B,13.036,2.185,2.265,0.261,1.946,1.988,0.258,50/50,
56,10,26,14,2,A+B,B,A,0,3.467,3.641,0.141,1.413,1.381,0.141,50/50,
57,10,27,15,2,A+B,B,A,1.909,3.283,3.263,0.228,0.728,0.686,0.109,50/50,
58,10,28,17,2,A+B,B,A,-16.189,3.12,3.158,0.141,2.88,2.925,0.13,50/50,
59,10,29,20,2,A+C,C,A,-3.616,2.946,2.93,0.228,2.913,2.939,0.272,50/50,
60,10,30,1,3,A+B,B,A,-2.691,2.446,2.546,0.152,2.402,2.349,0.402,50/50,
61,10,31,3,3,A+B,B,A,-5.831,2.511,2.568,0.076,0.783,0.755,0.117,50/50,
62,10,32,4,3,A+C,A,C,7.452,2.641,2.598,0.098,0.935,0.946,0.113,50/50,
63,10,33,5,3,A+B,B,A,-0.591,3.185,3.163,0.109,1.229,1.228,0.25,50/50,
64,10,34,6,3,A+B,B,A,-2.779,3.446,3.363,0.217,2.685,2.709,0.37,50/50,
65,10,35,7,3,A+C,C,A,-5.194,2.859,2.641,0.12,2.38,2.406,0.283,50/50,
66,10,36,8,3,A+B,A,B,5.877,2.967,2.972,0.13,2.174,2.231,0.12,50/50,
67,10,37,9,3,A+C,A,C,2.736,3.337,3.188,0.142,0.728,0.878,0.087,50/50,
68,10,38,10,3,A+B,B,A,-14.601,2.598,2.673,0.152,2.196,2.297,0.206,50/50,
69,10,39,12,3,A+B,B,A,-1.198,3.174,3.12,0.248,1.152,1.079,0.248,50/50,
70,10,40,13,3,A+B,A,B,13.036,2.185,2.265,0.185,2.109,2.075,0.504,50/50,
71,10,41,14,3,A+B,B,A,0,3.467,3.641,0.13,1.196,1.164,0.229,50/50,
72,10,42,15,3,A+B,B,A,1.909,3.283,3.263,0.217,0.793,0.794,0.098,50/50,
73,10,43,16,3,A+C,C,A,-2.006,3.543,3.415,0.141,1.478,1.511,0.12,50/50,
74,10,44,17,3,A+B,B,A,-16.189,3.12,3.158,0.25,3.043,3.155,0.324,50/50,
75,10,45,20,3,A+C,C,A,-3.616,2.946,2.93,0.348,2.946,3.03,0.38,50/50,
76,10,46,1,4,A+B,B,A,-2.691,2.446,2.546,0.174,2.293,2.32,0.37,50/50,Yes
77,10,47,2,4,A+B,A,B,-3.643,2.924,2.908,0.098,1.533,1.511,0.207,50/50,Yes
78,10,48,4,4,A+C,A,C,7.452,2.641,2.598,0.13,0.761,0.899,0.12,50/50,No
79,10,49,5,4,A+B,B,A,-0.591,3.185,3.163,0.12,1.152,1.123,0.13,50/50,No
80,10,50,6,4,A+B,B,A,-2.779,3.446,3.363,0.337,2.859,2.93,0.48,50/50,Yes
81,10,51,7,4,A+C,C,A,-5.194,2.859,2.641,0.152,1.652,1.515,0.293,50/50,Yes
82,10,52,9,4,A+C,A,C,2.736,3.337,3.188,0.174,0.613,0.567,0.13,50/50,No
83,10,53,10,4,A+B,B,A,-14.601,2.598,2.673,0.217,2.272,2.259,0.261,50/50,Yes
84,10,54,11,4,A+B,A,B,5.474,2.565,2.621,0.261,2.717,2.719,0.163,50/50,Yes
85,10,55,12,4,A+B,B,A,-1.198,3.174,3.12,0.174,0.967,0.988,0.272,50/50,Yes
86,10,56,13,4,A+B,A,B,13.036,2.185,2.265,0.239,2.217,2.219,0.337,50/50,Yes
87,10,57,14,4,A+B,B,A,0,3.467,3.641,0.145,1.076,1.073,0.217,50/50,Yes
88,10,58,15,4,A+B,B,A,1.909,3.283,3.263,0.185,1.011,0.946,0.076,50/50,Yes
89,10,59,17,4,A+B,B,A,-16.189,3.12,3.158,0.131,2.609,2.678,0.282,50/50,Yes
90,10,60,18,4,A+B,A,B,-6.65,2.467,2.44,0.141,1.087,1.024,0.109,50/50,Yes
91,10,61,20,4,A+C,C,A,-3.616,2.946,2.93,0.391,2.924,2.794,0.326,50/50,Yes
92,11,1,26,1,A+B,A,B,9.995,2.766,2.819,0.446,0.663,0.697,0.152,50/50,
93,11,2,35,1,A+C,A,C,-5.541,2.734,2.864,0.141,0.576,0.556,0.065,50/50,
94,11,3,36,1,A+B,A,B,-2.743,3.426,3.557,0.315,1.043,1.014,0.185,50/50,
95,11,5,21,1.5,A+B,B,A,7.515,2.447,2.522,0.152,1.13,1.21,0.217,50/50,
96,11,6,24,1.5,A+C,C,A,4.01,2.915,2.89,0.163,0.75,0.826,0.318,50/50,
97,11,7,25,1.5,A+B,B,A,-1.975,2.766,2.778,0.098,1.424,1.552,0.217,50/50,
98,11,8,26,1.5,A+B,A,B,9.995,2.766,2.819,0.293,1.109,1.018,0.207,50/50,
99,11,9,27,1.5,A+C,C,A,-6.389,2.819,2.773,0.674,2.217,2.241,0.457,50/50,
100,11,10,28,1.5,A+C,A,C,-1.685,2.947,2.895,0.239,1.087,0.957,0.228,50/50,
101,11,11,29,1.5,A+C,C,A,-3.024,2.915,2.823,0.207,1.087,1.001,0.174,50/50,
102,11,12,31,1.5,A+B,A,B,-4.259,2.883,3.008,0.239,1.261,1.255,0.12,50/50,
103,11,13,34,1.5,A+B,B,A,-0.359,3.415,3.394,0.239,1.239,1.326,0.446,50/50,
104,11,14,35,1.5,A+C,A,C,-5.541,2.734,2.864,0.174,0.859,0.841,0.087,50/50,
105,11,15,36,1.5,A+B,A,B,-2.743,3.426,3.557,0.446,1.435,1.404,0.25,50/50,
106,11,16,38,1.5,A+C,A,C,-12.657,2.681,2.573,0.13,0.707,0.739,0.241,50/50,
107,11,17,39,1.5,A+C,C,A,-6.091,3.511,3.509,0.261,1.848,1.845,0.337,50/50,
108,11,18,42,1.5,A+B,A,B,-6.39,2.691,2.676,0.098,2.348,2.352,0.217,50/50,
109,11,19,46,1.5,A+C,C,A,1.931,2.851,2.842,0.13,0.696,0.632,0.098,50/50,
110,11,20,21,2,A+B,B,A,7.515,2.447,2.522,0.174,1.696,1.63,0.38,50/50,
111,11,21,22,2,A+B,A,B,-4.419,2.351,2.347,0.141,1,0.862,0.107,50/50,
112,11,22,23,2,A+C,A,C,-6.454,2.298,2.366,0.152,1.815,1.79,0.13,50/50,
113,11,23,24,2,A+C,C,A,4.01,2.915,2.89,0.163,0.989,0.948,0.185,50/50,
114,11,24,26,2,A+B,B,A,-1.975,2.766,2.778,0.152,1.163,1.067,0.266,50/50,
115,11,25,27,2,A+B,A,B,9.995,2.766,2.819,0.446,1.685,1.754,0.314,50/50,
116,11,26,28,2,A+C,C,A,-6.389,2.819,2.773,0.272,1.033,1.025,0.087,50/50,
117,11,27,31,2,A+C,A,C,-1.685,2.947,2.895,0.261,2.609,2.665,0.185,50/50,
118,11,28,34,2,A+C,C,A,-3.024,2.915,2.823,0.217,0.946,1.034,0.239,50/50,
119,11,29,35,2,A+B,A,B,-4.259,2.883,3.008,0.065,1.359,1.304,0.13,50/50,
120,11,30,36,2,A+B,A,B,-2.743,3.426,3.557,0.304,1.011,1.099,0.185,50/50,
121,11,31,39,2,A+C,C,A,-6.091,3.511,3.509,0.293,2.087,1.918,0.333,50/50,
122,11,32,42,2,A+B,A,B,-6.39,2.691,2.676,0.098,2.457,2.416,0.13,50/50,
123,11,33,21,3,A+B,B,A,7.515,2.447,2.522,0.12,2.783,2.762,0.391,50/50,
124,11,34,22,3,A+B,A,B,-4.419,2.351,2.347,0.185,0.924,0.862,0.131,50/50,
125,11,35,23,3,A+C,A,C,-6.454,2.298,2.366,0.109,2.109,2.145,0.163,50/50,
126,11,36,26,3,A+B,A,B,9.995,2.766,2.819,0.163,1.576,1.578,0.196,50/50,
127,11,37,27,3,A+C,C,A,-6.389,2.819,2.773,0.337,2.217,2.323,0.326,50/50,
128,11,38,31,3,A+B,A,B,-4.259,2.883,3.008,0.38,1.102,1.254,0.407,50/50,
129,11,39,34,3,A+B,B,A,-0.359,3.415,3.394,0.239,1.054,1.05,0.152,50/50,
130,11,40,36,3,A+B,A,B,-2.743,3.426,3.557,0.359,1.043,1.014,0.109,50/50,
131,11,41,39,3,A+C,C,A,-6.091,3.511,3.509,0.283,1.837,1.702,0.37,50/50,
132,11,42,44,3,A+B,B,A,-0.2,2.989,3.053,0.348,0.978,0.958,0.12,50/50,
133,11,43,21,4,A+B,B,A,7.515,2.447,2.522,0.338,2.62,2.584,0.359,50/50,Yes
134,11,44,23,4,A+C,A,C,-6.454,2.298,2.366,0.304,2.348,2.45,0.25,50/50,Yes
135,11,45,24,4,A+C,C,A,4.01,2.915,2.89,0.098,0.641,0.587,0.12,50/50,Yes
136,11,46,25,4,A+B,B,A,-1.975,2.766,2.778,0.163,1.261,1.194,0.109,50/50,No
137,11,47,26,4,A+B,A,B,9.995,2.766,2.819,0.163,1.37,1.392,0.228,50/50,Yes
138,11,48,27,4,A+C,C,A,-6.389,2.819,2.773,0.446,2.489,2.479,0.37,50/50,Yes
139,11,49,28,4,A+C,A,C,-1.685,2.947,2.895,0.207,0.989,0.581,0.087,50/50,Yes
140,11,50,29,4,A+C,C,A,-3.024,2.915,2.823,0.109,1.391,1.374,0.13,50/50,Yes
141,11,51,31,4,A+B,A,B,-4.259,2.883,3.008,0.293,2.424,2.458,0.228,50/50,Yes
142,11,52,34,4,A+B,B,A,-0.359,3.415,3.394,0.261,1.152,1.326,0.196,50/50,Yes
143,11,53,39,4,A+C,C,A,-6.091,3.511,3.509,0.326,2.848,2.752,0.283,50/50,Yes
144,11,54,40,4,A+B,B,A,-4.944,3,3.086,0.109,1.478,1.417,0.185,50/50,Yes
145,11,55,41,4,A+B,B,A,17.547,2.926,2.823,0.174,0.717,0.748,0.188,50/50,Yes
146,11,56,44,4,A+B,B,A,-0.2,2.989,3.053,0.362,0.913,0.986,0.203,50/50,Yes
147,11,57,45,4,A+C,A,C,-0.69,2.564,2.649,0.116,0.884,0.951,0.188,50/50,Yes
148,11,58,46,4,A+C,C,A,1.931,2.851,2.842,0.145,1.058,1.045,0.101,50/50,No
149,12,1,5,1.5,A+C,C,A,14.508,2.697,2.646,0.281,1.202,1.193,0.326,50/50,
150,12,2,7,1.5,A+C,C,A,-3.721,2.787,2.77,0.315,2.124,1.88,0.775,50/50,
151,12,3,10,1.5,A+C,C,A,-4.563,2.438,2.401,0.157,1.18,1.325,0.315,50/50,
152,12,4,4,2,A+B,A,B,-13.795,2.517,2.592,0.112,0.989,1.042,0.27,50/50,
153,12,5,5,2,A+C,C,A,14.508,2.697,2.646,0.112,1.034,1.038,0.236,50/50,
154,12,6,7,2,A+C,C,A,-3.721,2.787,2.77,0.157,1.629,1.62,0.292,50/50,
155,12,7,10,2,A+C,C,A,-4.563,2.438,2.401,0.112,0.562,0.676,0.056,50/50,
156,12,8,4,3,A+B,A,B,-13.795,2.517,2.592,0.135,1.022,1.001,0.191,50/50,
157,12,9,5,3,A+C,C,A,14.508,2.697,2.646,0.191,1.753,1.769,0.338,50/50,
158,12,10,7,3,A+C,C,A,-3.721,2.787,2.77,0.438,2.551,2.567,0.701,50/50,
159,12,11,8,3,A+C,A,C,-1.069,3.124,3.012,0.135,0.618,0.631,0.079,50/50,
160,12,12,4,4,A+B,A,B,-13.795,2.517,2.592,0.169,1.135,1.23,0.27,50/50,Yes
161,12,13,5,4,A+C,C,A,14.508,2.697,2.646,0.258,2.112,2.178,0.249,50/50,Yes
162,12,14,7,4,A+C,C,A,-3.721,2.787,2.77,0.393,3.045,3.083,0.618,50/50,Yes
163,12,15,8,4,A+C,A,C,-1.069,3.124,3.012,0.18,1,0.981,0.202,50/50,Yes
164,12,16,9,4,A+B,A,B,7.836,2.528,2.473,0.236,2.022,2.078,0.146,50/50,Yes
165,12,17,10,4,A+C,C,A,-4.563,2.438,2.401,0.18,0.551,0.565,0.135,50/50,Yes
166,13,1,13,1.5,A+C,C,A,-3.062,2.736,2.674,0.209,1.374,1.472,0.308,50/50,
167,13,2,16,1.5,A+B,A,B,12.407,2.78,2.813,0.198,0.945,0.885,0.204,50/50,
168,13,3,17,1.5,A+C,A,C,-0.963,2.604,2.616,0.297,1.846,1.92,0.286,50/50,
169,13,4,22,1.5,A+B,A,B,9.593,2.286,2.374,0.22,0.769,0.782,0.231,50/50,
170,13,5,23,1.5,A+C,A,C,4.106,2.187,2.148,0.22,1.297,1.264,0.224,50/50,
171,13,6,24,1.5,A+B,A,B,4.827,2.527,2.481,0.264,1.231,1.333,0.231,50/50,
172,13,7,26,1.5,A+C,C,A,6.582,2.549,2.588,0.297,1.286,1.362,0.491,50/50,
173,13,8,27,1.5,A+C,C,A,1.501,2.56,2.517,0.242,1.088,1.089,0.33,50/50,
174,13,9,28,1.5,A+C,C,A,21.457,2.242,2.373,0.121,0.769,0.814,0.153,50/50,
175,13,10,32,1.5,A+C,C,A,6.273,3.165,3.118,0.121,0.901,0.874,0.121,50/50,
176,13,11,33,1.5,A+C,A,C,-6.157,2.593,2.664,0.132,1.088,1.114,0.188,50/50,
177,13,12,12,2,A+B,A,B,3.053,2.462,2.476,0.132,0.56,0.595,0.11,50/50,
178,13,13,13,2,A+C,C,A,-3.062,2.736,2.674,0.32,1.206,1.34,0.402,50/50,
179,13,14,14,2,A+B,A,B,-7.337,2.637,2.582,0.134,0.495,0.554,0.124,50/50,
180,13,15,16,2,A+B,A,B,12.407,2.78,2.813,0.186,0.68,0.744,0.065,50/50,
181,13,16,17,2,A+C,A,C,-0.963,2.604,2.616,0.247,1.485,1.475,0.155,50/50,
182,13,17,24,2,A+B,A,B,4.827,2.527,2.481,0.1299,0.794,0.767,0.155,50/50,
183,13,18,26,2,A+C,C,A,6.582,2.549,2.588,0.268,1.495,1.514,0.366,50/50,
184,13,19,27,2,A+C,C,A,1.501,2.56,2.517,0.32,0.99,0.942,0.124,50/50,
185,13,20,28,2,A+C,C,A,21.457,2.242,2.373,0.124,0.629,0.563,0.103,50/50,
186,13,21,32,2,A+C,C,A,6.273,3.165,3.118,0.155,1.948,2.001,0.258,50/50,
187,13,22,12,3,A+B,A,B,3.053,2.462,2.476,0.103,1.052,0.965,0.176,50/50,
188,13,23,13,3,A+C,C,A,-3.062,2.736,2.674,0.278,1.361,1.449,0.309,50/50,
189,13,24,15,3,A+C,C,A,0.616,3.099,3.066,0.062,0.351,0.3292,0.093,50/50,
190,13,25,16,3,A+B,A,B,12.407,2.78,2.813,0.227,1.649,1.993,0.14,50/50,
191,13,26,17,3,A+C,A,C,-0.963,2.604,2.616,0.206,0.835,0.867,0.134,50/50,
192,13,27,18,3,A+C,C,A,3.677,2.725,2.742,0.239,1.113,1.139,0.082,50/50,
193,13,28,24,3,A+B,A,B,4.827,2.527,2.481,0.262,0.856,0.949,0.165,50/50,
194,13,29,26,3,A+C,C,A,6.582,2.549,2.588,0.34,1.876,1.867,0.444,50/50,
195,13,30,27,3,A+C,C,A,1.501,2.56,2.517,0.278,1.371,1.382,0.33,50/50,
196,13,31,32,3,A+C,C,A,6.273,3.165,3.118,0.072,0.464,0.485,0.103,50/50,
197,13,32,11,4,A+C,A,C,2.663,2.231,2.365,0.113,1.216,1.189,0.134,50/50,Yes
198,13,33,12,4,A+B,A,B,3.053,2.462,2.476,0.165,0.825,0.866,0.158,50/50,Yes
199,13,34,13,4,A+C,C,A,-3.062,2.736,2.674,0.237,2.062,2.038,0.474,50/50,Yes
200,13,35,16,4,A+B,A,B,12.407,2.78,2.813,0.289,2.031,2.494,0.306,50/50,Yes
201,13,36,17,4,A+C,A,C,-0.963,2.604,2.616,0.237,1.577,1.573,0.258,50/50,Yes
202,13,37,24,4,A+B,A,B,4.827,2.527,2.481,0.278,1.186,1.217,0.145,50/50,Yes
203,13,38,26,4,A+C,C,A,6.582,2.549,2.588,0.268,2.237,2.198,0.623,50/50,Yes
204,13,39,27,4,A+C,C,A,1.501,2.56,2.517,0.206,2.041,1.997,0.474,50/50,Yes
205,13,40,32,4,A+C,C,A,6.273,3.165,3.118,0.124,1.464,1.505,0.155,50/50,Yes
206,13,41,33,4,A+C,A,C,-6.157,2.593,2.664,0.103,0.588,0.644,0.093,50/50,No
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,