Number_ID,Day,Number,Plate_ID,Time,Strain,GFP,RFP,Proportion,Pillar_angle,Pillar_height,Pillar_length,Base_length,Straight_height,Titled_height,Width,Tower
1,14,1,1,1,A+C,C,A,66/33,-3.289,3.756,3.873,0.578,1.067,0.966,0.122,
2,14,2,17,1,A+C,C,A,66/33,6.929,3.278,3.224,0.156,0.589,0.591,0.089,
3,14,3,24,1,A+B,B,A,66/33,-4.046,3.4,3.464,0.611,2.033,2.162,0.4,
4,14,4,1,1.5,A+C,C,A,66/33,-3.289,3.756,3.873,0.533,1.822,1.815,0.311,
5,14,5,2,1.5,A+B,B,A,33/66,0.898,3.456,3.545,0.167,2.867,2.93,0.489,
6,14,6,6,1.5,A+C,C,A,33/66,4.844,2.689,2.632,0.156,1.056,1.067,0.167,
7,14,7,7,1.5,A+C,A,C,66/33,6.096,3.456,3.453,0.178,2,1.964,0.389,
8,14,8,8,1.5,A+B,A,B,66/33,0.547,3.522,3.489,0.156,0.522,0.594,0.133,
9,14,9,10,1.5,A+B,A,B,66/33,-0.939,2.644,2.711,0.222,1.078,1.18,0.233,
10,14,10,14,1.5,A+B,B,A,66/33,-2.746,3.111,3.015,0.478,2.022,1.969,0.3,
11,14,11,15,1.5,A+B,B,A,33/66,-9.841,3.256,3.315,0.322,1.344,1.41,0.278,
12,14,12,16,1.5,A+C,C,A,33/66,-3.168,2.898,3.016,0.267,0.6,0.69,0.068,
13,14,13,24,1.5,A+B,B,A,66/33,-4.046,3.4,3.464,0.423,3.189,3.17,0.333,
14,14,14,28,1.5,A+B,B,A,66/33,-2.716,2.722,2.814,0.189,2.044,2.228,0.2,
15,14,15,1,2,A+C,C,A,66/33,-3.289,3.756,3.873,0.567,2.911,2.813,0.344,
16,14,16,2,2,A+B,B,A,33/66,0.898,3.456,3.545,0.144,2.289,2.3,0.256,
17,14,17,7,2,A+C,A,C,66/33,6.096,3.456,3.453,0.144,1.467,1.29,0.168,
18,14,18,14,2,A+B,B,A,66/33,-2.746,3.111,3.015,0.389,1.289,1.346,0.133,
19,14,19,15,2,A+B,B,A,33/66,-9.841,3.256,3.315,0.578,1.511,1.505,0.345,
20,14,20,24,2,A+B,B,A,66/33,-4.046,3.4,3.464,0.6,3.589,3.613,0.378,
21,14,21,28,2,A+B,B,A,66/33,-2.716,2.722,2.814,0.178,2.089,2.082,0.222,
22,14,22,1,3,A+C,C,A,66/33,-3.289,3.756,3.873,0.533,3.311,3.328,0.567,
23,14,23,2,3,A+B,B,A,33/66,0.898,3.456,3.545,0.2,2.133,2.167,0.289,
24,14,24,7,3,A+C,A,C,66/33,6.096,3.456,3.453,0.2,1.844,1.854,0.344,
25,14,25,13,3,A+C,A,C,66/33,5.73,3.211,3.227,0.122,1.048,1.085,0.189,
26,14,26,14,3,A+B,B,A,66/33,-2.746,3.111,3.015,0.478,1.4,1.439,0.167,
27,14,27,15,3,A+B,B,A,33/66,-9.841,3.256,3.315,0.311,0.844,0.92,0.089,
28,14,28,16,3,A+C,C,A,33/66,-3.168,2.898,3.016,0.333,1.711,1.741,0.133,
29,14,29,20,3,A+B,A,B,66/33,4.874,2.778,2.877,0.211,1.189,1.19,0.256,
30,14,30,24,3,A+B,B,A,66/33,-4.046,3.4,3.464,0.6,3.578,3.497,0.467,
31,14,31,27,3,A+B,B,A,33/66,-7.37,3.611,3552,0.189,1.322,1.409,0.178,
32,14,32,28,3,A+B,B,A,66/33,-2.716,2.722,2.814,0.2,1.767,1.661,0.257,
33,14,33,1,4,A+C,C,A,66/33,-3.289,3.756,3.873,0.356,3.522,3.62,0.592,Yes
34,14,34,2,4,A+B,B,A,33/66,0.898,3.456,3.545,0.078,1.411,1.378,0.292,Yes
35,14,35,7,4,A+C,A,C,66/33,6.096,3.456,3.453,0.178,1.1,1.214,0.122,No
36,14,36,14,4,A+B,B,A,66/33,-2.746,3.111,3.015,0.456,1.478,1.486,0.336,Yes
37,14,37,15,4,A+B,B,A,33/66,-9.841,3.256,3.315,0.289,1.533,1.523,0.294,Yes
38,14,38,16,4,A+C,C,A,33/66,-3.168,2.898,3.016,0.378,2.433,2.481,0.244,Yes
39,14,39,20,4,A+B,A,B,66/33,4.874,2.778,2.877,0.189,1.178,1.197,0.2,Yes
40,14,40,24,4,A+B,B,A,66/33,-4.046,3.4,3.464,0.622,3.589,3.569,0.467,Yes
41,14,41,27,4,A+B,B,A,33/66,-7.37,3.611,3552,0.133,1.122,1.157,0.178,Yes
42,14,42,28,4,A+B,B,A,66/33,-2.716,2.722,2.814,0.2,2.333,2.269,0.268,Yes
43,15,1,51,1,A+B,B,A,33/66,-8.236,2.391,2.504,0.13,0.804,0.887,0.12,
44,15,2,30,1.5,A+C,A,C,33/66,-9.427,2.837,2.92,0.163,1.467,1.47,0.218,
45,15,3,36,1.5,A+B,A,B,66/33,4.778,3.457,3.523,0.12,0.457,0.504,0.087,
46,15,4,49,1.5,A+B,A,B,66/33,1.762,2.696,2.827,0.13,1.511,1.59,0.163,
47,15,5,51,1.5,A+B,B,A,33/66,-8.236,2.391,2.504,0.076,0.449,0.551,0.054,
48,15,6,53,1.5,A+C,C,A,66/33,7.447,3.283,3.354,0.185,1.62,1.648,0.261,
49,15,7,30,2,A+C,A,C,33/66,-9.427,2.837,2.92,0.348,2.391,2.446,0.283,
50,15,8,38,2,A+C,C,A,66/33,5.064,2.565,2.586,0.13,0.359,0.394,0.065,
51,15,9,44,2,A+B,B,A,33/66,-13.048,2.652,2.6,0.185,0.554,0.448,0.077,
52,15,10,49,2,A+B,A,B,66/33,1.762,2.696,2.827,0.196,1.522,1.435,0.185,
53,15,11,53,2,A+C,C,A,66/33,7.447,3.283,3.354,0.25,1.739,1.847,0.268,
54,15,12,54,2,A+C,C,A,66/33,6.222,2.815,2.908,0.13,0.75,0.591,0.065,
55,15,13,30,3,A+C,A,C,33/66,-9.427,2.837,2.92,0.196,2.739,2.793,0.239,
56,15,14,33,3,A+C,A,C,66/33,-5.28,3.304,3.308,0.174,0.348,0.37,0.098,
57,15,15,34,3,A+C,C,A,66/33,-9.545,2.489,2.491,0.185,1.891,1.839,0.109,
58,15,16,35,3,A+B,A,B,33/66,-1.713,3.293,3.273,0.098,1.576,1.711,0.141,
59,15,17,38,3,A+C,C,A,66/33,5.064,2.565,2.586,0.196,0.522,0.613,0.306,
60,15,18,42,3,A+B,A,B,33/66,0.688,2.783,2.718,0.12,0.402,0.578,0.076,
61,15,19,44,3,A+B,B,A,33/66,-13.048,2.652,2.6,0.174,0.815,0.94,0.254,
62,15,20,49,3,A+B,A,B,66/33,1.762,2.696,2.827,0.152,1.783,1.823,0.348,
63,15,21,51,3,A+B,B,A,33/66,-8.236,2.391,2.504,0.076,0.457,0.457,0.054,
64,15,22,52,3,A+C,A,C,33/66,3.576,3.054,3.137,0.13,0.674,0.617,0.12,
65,15,23,53,3,A+C,C,A,66/33,7.447,3.283,3.354,0.391,2.239,2.266,0.256,
66,15,24,54,3,A+C,C,A,66/33,6.222,2.815,2.908,0.12,0.62,0.629,0.122,
67,15,25,30,4,A+C,A,C,33/66,-9.427,2.837,2.92,0.152,3.174,3.273,0.38,Yes
68,15,26,31,4,A+C,A,C,33/66,-4.931,2.804,2.782,0.152,0.63,0.544,0.065,No
69,15,27,33,4,A+C,A,C,66/33,-5.28,3.304,3.308,0.196,0.717,0.804,0.13,No
70,15,28,34,4,A+C,C,A,66/33,-9.545,2.489,2.491,0.239,2.87,2.953,0.298,Yes
71,15,29,36,4,A+B,A,B,66/33,4.778,3.457,3.523,0.12,0.783,0.885,0.188,Yes
72,15,30,38,4,A+C,C,A,66/33,5.064,2.565,2.586,0.272,1.294,1.402,0.326,Yes
73,15,31,39,4,A+C,A,C,33/66,2.93,2.5696,2.764,0.174,1.152,1.294,0.131,Yes
74,15,32,44,4,A+B,B,A,33/66,-13.048,2.652,2.6,0.141,1.989,2.226,0.233,Yes
75,15,33,49,4,A+B,A,B,66/33,1.762,2.696,2.827,0.207,1.793,1.907,0.174,Yes
76,15,34,51,4,A+B,B,A,33/66,-8.236,2.391,2.504,0.141,0.794,0.821,0.141,Yes
77,15,35,53,4,A+C,C,A,66/33,7.447,3.283,3.354,0.359,2.141,2.019,0.297,Yes
78,15,36,54,4,A+C,C,A,66/33,6.222,2.815,2.908,0.239,1.163,1.24,0.305,Yes
79,16,1,6,1.5,A+B,B,A,33/66,-6.786,3.288,3.334,0.333,0.758,0.796,0.174,
80,16,2,8,1.5,A+B,B,A,66/33,-11.861,3.144,3.243,0.182,1.25,1.243,0.167,
81,16,3,16,1.5,A+B,B,A,66/33,-10.293,3.076,3.18,0.114,0.371,0.568,0.045,
82,16,4,19,1.5,A+B,A,B,33/66,-18.912,2.742,2.875,0.076,0.379,0.405,0.106,
83,16,5,22,1.5,A+B,B,A,66/33,2.905,3.432,3.588,0.144,0.788,0.788,0.242,
84,16,6,23,1.5,A+B,A,B,33/66,-4.718,3.091,3.132,0.159,1.106,1.091,0.136,
85,16,7,24,1.5,A+C,A,C,33/66,-0.576,2.962,3.015,0.182,0.568,0.685,0.288,
86,16,8,26,1.5,A+C,A,C,66/33,-6.175,2.629,2.606,0.295,0.955,0.957,0.288,
87,16,9,2,2,A+C,A,C,33/66,2.842,3.311,3.208,0.189,0.689,0.699,0.083,
88,16,10,3,2,A+C,A,C,66/33,-13.018,2.629,2.791,0.227,0.735,0.716,0.182,
89,16,11,7,2,A+B,A,B,33/66,-1.374,3.348,3.16,0.091,1.099,1.068,0.197,
90,16,12,8,2,A+B,B,A,66/33,-11.861,3.144,3.243,0.083,1.439,1.457,0.122,
91,16,13,10,2,A+C,A,C,66/33,-4.03,3.364,3.342,0.189,0.727,0.812,0.265,
92,16,14,11,2,A+B,A,B,66/33,-6.174,3.091,3.17,0.212,0.683,0.637,0.076,
93,16,15,18,2,A+B,A,B,66/33,2.223,3.311,3.321,0.182,1.053,1.152,0.235,
94,16,16,20,2,A+B,B,A,33/66,-2.13,3.386,3.465,0.114,0.545,0.532,0.265,
95,16,17,23,2,A+B,A,B,33/66,-4.718,3.091,3.132,0.061,1.174,1.199,0.152,
96,16,18,24,2,A+C,A,C,33/66,-0.576,2.962,3.015,0.129,0.568,0.594,0.106,
97,16,19,26,2,A+C,A,C,66/33,-6.175,2.629,2.606,0.076,0.242,0.291,0.098,
98,16,20,29,2,A+B,B,A,66/33,-2.111,2.955,3.085,0.144,0.712,0.707,0.258,
99,16,21,3,3,A+C,A,C,66/33,-13.018,2.629,2.791,0.265,1.023,0.958,0.165,
100,16,22,4,3,A+B,B,A,66/33,-1.167,3.712,3.72,0.121,0.72,0.755,0.364,
101,16,23,9,3,A+C,A,C,33/66,-10.27,3.273,3.357,0.076,0.538,0.472,0.134,
102,16,24,10,3,A+C,A,C,66/33,-4.03,3.364,3.342,0.068,0.485,0.592,0.159,
103,16,25,11,3,A+B,A,B,66/33,-6.174,3.091,3.17,0.106,0.78,0.838,0.238,
104,16,26,20,3,A+B,B,A,33/66,-2.13,3.386,3.465,0.136,0.712,0.776,0.273,
105,16,27,26,3,A+C,A,C,66/33,-6.175,2.629,2.606,0.152,0.902,0.905,0.136,
106,16,28,28,3,A+B,A,B,66/33,-11.098,3.439,3.621,0.159,3.371,3.333,0.29,
107,16,29,29,3,A+B,B,A,66/33,-2.111,2.955,3.085,0.136,0.818,0.872,0.189,
108,16,30,2,4,A+C,A,C,33/66,2.842,3.311,3.208,0.106,1.235,1.201,0.222,Yes
109,16,31,3,4,A+C,A,C,66/33,-13.018,2.629,2.791,0.152,0.848,0.848,0.173,Yes
110,16,32,4,4,A+B,B,A,66/33,-1.167,3.712,3.72,0.159,1.067,1.167,0.326,Yes
111,16,33,9,4,A+C,A,C,33/66,-10.27,3.273,3.357,0.098,0.265,0.409,0.053,No
112,16,34,10,4,A+C,A,C,66/33,-4.03,3.364,3.342,0.129,0.955,0.902,0.265,Yes
113,16,35,11,4,A+B,A,B,66/33,-6.174,3.091,3.17,0.114,0.992,0.98,0.227,Yes
114,16,36,15,4,A+B,A,B,66/33,-9.529,3.197,3.203,0.136,2.394,2.411,0.183,Yes
115,16,37,18,4,A+B,A,B,66/33,2.223,3.311,3.321,0.205,2.045,2.047,0.205,Yes
116,16,38,20,4,A+B,B,A,33/66,-2.13,3.386,3.465,0.197,1.091,1.143,0.318,Yes
117,16,39,26,4,A+C,A,C,66/33,-6.175,2.629,2.606,0.091,0.879,0.926,0.206,Yes
118,16,40,28,4,A+B,A,B,66/33,-11.098,3.439,3.621,0.098,3.83,3.862,0.244,Yes
119,16,41,29,4,A+B,B,A,66/33,-2.111,2.955,3.085,0.189,1.098,1.153,0.281,Yes
120,17,1,35,1.5,A+C,C,A,33/66,-5.194,3.135,3.314,0.136,0.45,0.536,0.05,
121,17,2,39,1.5,A+C,C,A,33/66,9.053,3.379,3.45,0.107,0.6,0.672,0.107,
122,17,4,44,1.5,A+C,C,A,33/66,-3.603,2.736,2.841,0.1,0.714,0.756,0.164,
123,17,5,59,1.5,A+B,A,B,33/66,-2.874,3.321,3.562,0.093,0.714,0.793,0.15,
124,17,6,37,2,A+B,A,B,33/66,-8.326,2.943,2.96,0.057,0.307,0.416,0.158,
125,17,7,39,2,A+C,C,A,33/66,9.053,3.379,3.45,0.143,1.2,1.173,0.214,
126,17,8,44,2,A+C,C,A,33/66,-3.603,2.736,2.841,0.1,2.007,2.129,0.23,
127,17,9,53,2,A+B,A,B,66/33,9.872,2.836,2.791,0.107,1.036,1.081,0.123,
128,17,10,59,2,A+B,A,B,33/66,-2.874,3.321,3.562,0.107,1.036,1.054,0.146,
129,17,11,37,3,A+B,A,B,33/66,-8.326,2.943,2.96,0.071,0.643,0.679,0.084,
130,17,12,39,3,A+C,C,A,33/66,9.053,3.379,3.45,0.136,2.464,2.462,0.231,
131,17,13,44,3,A+C,C,A,33/66,-3.603,2.736,2.841,0.086,0.814,0.798,0.15,
132,17,14,53,3,A+B,A,B,66/33,9.872,2.836,2.791,0.064,0.671,0.681,0.093,
133,17,15,54,3,A+B,A,B,33/66,-9.705,2.871,3.051,0.114,0.307,0.348,0.093,
134,17,16,59,3,A+B,A,B,33/66,-2.874,3.321,3.562,0.114,1.057,1.081,0.186,
135,17,17,37,4,A+B,A,B,33/66,-8.326,2.943,2.96,0.186,1.086,1.214,0.375,Yes
136,17,18,39,4,A+C,C,A,33/66,9.053,3.379,3.45,0.214,1.164,1.53,0.357,Yes
137,17,19,41,4,A+B,B,A,33/66,17.127,3.371,3.662,0.114,1.229,1.278,0.192,Yes
138,17,20,44,4,A+C,C,A,33/66,-3.603,2.736,2.841,0.086,0.879,0.963,0.086,Yes
139,17,21,53,4,A+B,A,B,66/33,9.872,2.836,2.791,0.129,2.25,2.425,0.329,Yes
140,17,22,54,4,A+B,A,B,33/66,-9.705,2.871,3.051,0.071,0.729,0.759,0.129,No
141,17,23,57,4,A+B,A,B,33/66,-4.041,2.529,2.635,0.107,0.729,0.805,0.193,Yes
142,17,24,59,4,A+B,A,B,33/66,-2.874,3.321,3.562,0.114,1.193,1.302,0.282,Yes